Área	Mês	 2024 | Real | Volume 	2025 | Real | Volume	 2025 | Orçado | Volume 	2024 | Real | Spread	2025 | Real | Spread	2025 | Orçado | Spread	SoR Gerencial Target	 2024 | Real | Produção (R$ Bi) 	2025 | Real | Produção (R$ Bi)	2024 | Real | Spred - Produção (R$ Bi)	2025 | Real | Spred - Produção (R$ Bi)
LARGE III	Junho	 42,6 		 46,7 	1,66%		1,85%	20,7%	 4,3 		1,17%	
LARGE III	Julho	 43,5 		 47,0 	1,81%		1,85%	21,3%	 4,7 		0,92%	
LARGE III	Agosto	 43,9 		 47,3 	1,71%		1,83%	20,8%	 4,4 		1,04%	
LARGE III	Setembro	 43,7 		 47,7 	1,94%		1,81%	20,7%	 2,9 		1,67%	
LARGE III	Outubro	 42,2 		 48,1 	1,77%		1,82%	20,8%	 4,7 		0,88%	
LARGE III	Novembro	 43,5 		 48,4 	1,76%		1,81%	20,7%	 4,5 		0,97%	
LARGE III	Dezembro	 43,3 		 49,1 	4,85%		5,40%	20,4%	 6,7 		1,67%	
LARGE IV	Janeiro	 18,4 	20,1	 18,9 	2,05%	1,77%	2,07%	23,7%	 1,2 	2,2	1,50%	1,75%
LARGE IV	Fevereiro	 18,1 	21,6	 19,0 	1,95%	1,76%	2,10%	23,4%	 1,0 	2,9	1,82%	1,32%
LARGE IV	Março	 18,9 	21,8	 19,1 	2,12%	3,02%	1,83%	23,0%	 1,9 	2,5	2,52%	1,57%
LARGE IV	Abril	 18,1 	20,4	 19,1 	1,85%	1,78%	1,97%	22,3%	 1,4 	1,6	1,36%	2,17%
LARGE IV	Maio	 18,6 	20,7	 19,2 	1,90%		1,94%	22,7%	 2,1 	0,8	1,06%	1,36%
LARGE IV	Junho	 20,0 		 19,4 	2,34%		1,98%	23,2%	 3,4 		1,34%	
LARGE IV	Julho	 19,5 		 19,5 	1,61%		1,89%	23,2%	 1,7 		1,32%	
LARGE IV	Agosto	 19,6 		 19,7 	1,81%		1,94%	23,4%	 2,6 		1,93%	
LARGE IV	Setembro	 19,8 		 19,9 	1,83%		1,96%	23,7%	 1,7 		1,11%	
LARGE IV	Outubro	 19,5 		 19,9 	1,99%		2,04%	23,9%	 1,6 		1,50%	
LARGE IV	Novembro	 19,6 		 20,0 	1,85%		2,00%	24,3%	 2,0 		1,80%	
LARGE IV	Dezembro	 20,8 		 20,1 	2,33%		1,86%	24,8%	 3,1 		1,23%	
